image_path,true_label,predicted_label,confidence,correct,valid_prediction
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275318912.jpg,good,good,0.8671875,True,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275147881.jpg,good,unhealthy,0.75390625,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274708831.jpg,good,very-unhealthy,0.6640625,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274703961.jpg,good,unhealthy-for-sensitive-groups,0.5078125,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275320357.jpg,good,very-unhealthy,0.48046875,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275467418.jpg,good,very-unhealthy,0.4921875,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275141496.jpg,good,very-unhealthy,0.48046875,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275143445.jpg,good,unhealthy-for-sensitive-groups,0.40234375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275151837.jpg,good,very-unhealthy,0.4453125,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275321771.jpg,good,unhealthy,0.9140625,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274701977.jpg,good,good,0.55859375,True,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274711160.jpg,good,unhealthy-for-sensitive-groups,0.41015625,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275319661.jpg,good,very-unhealthy,0.4609375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275321468.jpg,good,unhealthy,0.875,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274702924.jpg,good,very-unhealthy,0.58203125,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274709362.jpg,good,very-unhealthy,0.59765625,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275149270.jpg,good,very-unhealthy,0.54296875,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275322726.jpg,good,very-unhealthy,0.55078125,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274700813.jpg,good,very-unhealthy,0.52734375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274701510.jpg,good,very-unhealthy,0.484375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275150608.jpg,good,very-unhealthy,0.49609375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274714075.jpg,good,very-unhealthy,0.6015625,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274708074.jpg,good,good,0.50390625,True,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274702438.jpg,good,very-unhealthy,0.51171875,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274701742.jpg,good,very-unhealthy,0.43359375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275151508.jpg,good,very-unhealthy,0.49609375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275321141.jpg,good,unhealthy,0.77734375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712274707300.jpg,good,very-unhealthy,0.49609375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275153155.jpg,good,very-unhealthy,0.59375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275145512.jpg,good,unhealthy-for-sensitive-groups,0.93359375,False,True
/home/tony-stark/Projects/image-based-air-quality-classifier/data/evaluate-dataset/good/1712275144169.jpg,good,unhealthy,0.43359375,False,True
